area,centroid_r,centroid_c,dist_center,boundary_frac,color_frac_among_nonbg,is_rarest_color,is_unique_color,bbox_h,bbox_w,bbox_aspect,fill_ratio,color,n_pixels_same_color_grid,task_id,component_id,n_subjects_touched,n_subjects_total,mean_touch_priority,median_touch_priority
1,1.0,2.0,11.335784048754634,1.0,0.7027027027027027,0.0,0.0,1,1,1.0,1.0,3,78,00d62c1b,0,3,189,0.0026881720430107525,0.0
1,2.0,1.0,11.335784048754634,1.0,0.7027027027027027,0.0,0.0,1,1,1.0,1.0,3,78,00d62c1b,1,2,189,0.016129032258064516,0.016129032258064516
13,3.6923076923076925,5.461538461538462,7.073786930524663,1.0,0.7027027027027027,0.0,0.0,4,6,0.6666666666666666,0.5416666666666666,3,78,00d62c1b,2,182,189,0.18188871366159745,0.03125
1,3.0,2.0,9.924716620639604,1.0,0.7027027027027027,0.0,0.0,1,1,1.0,1.0,3,78,00d62c1b,3,3,189,0.05047789725209079,0.024193548387096774
2,3.0,10.5,6.576473218982953,1.0,0.7027027027027027,0.0,0.0,1,2,0.5,1.0,3,78,00d62c1b,4,1,189,0.4,0.4
1,4.0,9.0,5.522680508593631,1.0,0.7027027027027027,0.0,0.0,1,1,1.0,1.0,3,78,00d62c1b,5,1,189,0.28,0.28
4,4.75,11.25,5.062114182829147,1.0,0.7027027027027027,0.0,0.0,2,3,0.6666666666666666,0.6666666666666666,3,78,00d62c1b,6,4,189,0.39182315668202766,0.34125
33,9.666666666666666,12.93939393939394,3.4434297507162155,0.9696969696969697,0.7027027027027027,0.0,0.0,8,10,0.8,0.4125,3,78,00d62c1b,7,187,189,0.532140203486357,0.6857142857142857
2,12.0,6.5,3.905124837953327,1.0,0.7027027027027027,0.0,0.0,1,2,0.5,1.0,3,78,00d62c1b,8,1,189,0.9393939393939394,0.9393939393939394
1,13.0,2.0,8.276472678623424,1.0,0.7027027027027027,0.0,0.0,1,1,1.0,1.0,3,78,00d62c1b,9,1,189,0.9476744186046512,0.9476744186046512
1,14.0,1.0,9.617692030835672,1.0,0.7027027027027027,0.0,0.0,1,1,1.0,1.0,3,78,00d62c1b,10,0,189,,
1,14.0,3.0,7.905694150420948,1.0,0.7027027027027027,0.0,0.0,1,1,1.0,1.0,3,78,00d62c1b,11,1,189,0.9302325581395349,0.9302325581395349
1,15.0,2.0,9.300537618869138,1.0,0.7027027027027027,0.0,0.0,1,1,1.0,1.0,3,78,00d62c1b,12,0,189,,
1,15.0,4.0,7.7781745930520225,1.0,0.7027027027027027,0.0,0.0,1,1,1.0,1.0,3,78,00d62c1b,13,1,189,0.7272727272727273,0.7272727272727273
15,16.4,8.8,6.935416353759879,1.0,0.7027027027027027,0.0,0.0,4,6,0.6666666666666666,0.625,3,78,00d62c1b,14,183,189,0.3289939609203003,0.2647058823529412
1,2.0,2.0,10.606601717798213,1.0,0.2972972972972973,1.0,0.0,1,1,1.0,1.0,4,33,00d62c1b,15,178,189,0.16449449282700968,0.0
4,4.0,6.5,6.264982043070834,1.0,0.2972972972972973,1.0,0.0,1,4,0.25,1.0,4,33,00d62c1b,16,5,189,0.21547018572825025,0.10483870967741936
2,4.0,10.5,5.5901699437494745,1.0,0.2972972972972973,1.0,0.0,1,2,0.5,1.0,4,33,00d62c1b,17,1,189,0.4125,0.4125
15,9.0,15.0,5.522680508593631,0.8,0.2972972972972973,1.0,0.0,5,3,1.6666666666666667,1.0,4,33,00d62c1b,18,183,189,0.6925545154939892,0.8125
3,10.0,11.0,1.5811388300841898,1.0,0.2972972972972973,1.0,0.0,1,3,0.3333333333333333,1.0,4,33,00d62c1b,19,183,189,0.5674362141455349,0.6875
1,12.0,8.0,2.9154759474226504,1.0,0.2972972972972973,1.0,0.0,1,1,1.0,1.0,4,33,00d62c1b,20,1,189,0.16,0.16
