subject_id,size,color_homogeneity,is_connected,bbox_area,fill_ratio,nn_chain_rate,success_iou_best,n_cells,n_chunks_total,n_trials,overall_error_rate,te1_rate,te2_rate,te3_rate,n_edits_total,n_motor,n_cognitive,n_wrong,motor_rate,cognitive_rate,motor_over_wrong,cognitive_over_wrong
02333qfj,6.545556631402785,0.9596868131868131,0.6294993894993896,23.45158427896889,0.6710541965172148,0.8253584155081838,0.17713080521614952,6.382361049207203,6.446153846153846,51.0,0.196078431372549,0.1372549019607843,0.0196078431372549,0.0392156862745098,2890,62,1471,1923,0.021453287197231833,0.5089965397923876,0.03224128965158606,0.764950598023921
03ljcqhc,5.499391427008209,0.978406362545018,0.6915588784533421,17.419386747911833,0.7401652073566687,0.8610697599432616,0.16710981258696783,5.3477927445488005,7.176470588235294,26.0,0.1153846153846153,0.0769230769230769,0.0384615384615384,0.0,1320,43,610,801,0.03257575757575758,0.4621212121212121,0.05368289637952559,0.7615480649188514
08vqizpx,6.037184981684982,0.944949531949532,0.48388156288156287,26.654989621489623,0.606831039716512,0.7293508080701138,0.14442644713176572,6.012160561660562,10.04,16.0,0.0625,0.0625,0.0,0.0,1140,38,597,792,0.03333333333333333,0.5236842105263158,0.047979797979797977,0.7537878787878788
095bdwyc,5.515740740740741,0.9482014704406304,0.48972663139329803,26.83699294532628,0.632022684420793,0.8527458570409084,0.16210915429754977,5.3351851851851855,6.111111111111111,14.0,0.3571428571428571,0.2142857142857142,0.0714285714285714,0.0714285714285714,561,21,235,350,0.0374331550802139,0.41889483065953653,0.06,0.6714285714285714
0fy66fv2,4.3040079365079364,0.9448159271284272,0.31976190476190475,31.85834325396825,0.45493306757004104,0.43048088334315276,0.0850538830107936,4.169156746031746,5.825,,,,,,1054,13,833,949,0.012333965844402278,0.7903225806451613,0.0136986301369863,0.8777660695468915
0hrc9vve,8.966036268695843,0.9903846153846154,0.5109068458137608,40.197266585364986,0.6090927347586749,0.7769864640369574,0.13448002910058834,8.631710178119752,6.980769230769231,13.0,0.3076923076923077,0.0769230769230769,0.0,0.2307692307692307,2224,92,1231,1489,0.04136690647482014,0.5535071942446043,0.06178643384822028,0.8267293485560779
0ra11hiv,5.031335621089126,0.9743859881614982,0.5808105656108765,15.75370961176229,0.6603797012185255,0.7965551093949478,0.1809078804846158,4.913762822299792,11.326530612244898,35.0,0.2,0.0857142857142857,0.1142857142857142,0.0,2624,69,1508,1819,0.026295731707317072,0.5746951219512195,0.03793293018141836,0.8290269378779549
0wk7vjg8,4.588169216030819,0.9800179211469534,0.7069990305682293,13.05356577461156,0.7571884990622093,0.8966040609484939,0.13248634380644392,4.508587507416852,8.451612903225806,28.0,0.1785714285714285,0.1428571428571428,0.0,0.0357142857142857,1260,69,594,854,0.05476190476190476,0.4714285714285714,0.08079625292740047,0.6955503512880562
0yfthc4y,5.484669754045875,0.959118425769571,0.6160699924034772,14.857198423449649,0.6972617165799718,0.8011759455874126,0.17353985093352786,5.182226326391539,10.788732394366198,51.0,0.2352941176470588,0.1372549019607843,0.0392156862745098,0.0588235294117647,5022,103,3138,3627,0.020509757068896853,0.6248506571087217,0.02839812517231872,0.8651778329197684
154uk6vm,7.776229725787997,0.9801174529640917,0.6659175984833879,20.225218628228497,0.7074156091234901,0.8099190181460296,0.1459796805945766,7.337086097642959,7.375,28.0,0.3571428571428571,0.1785714285714285,0.1071428571428571,0.0714285714285714,2646,93,1540,1881,0.035147392290249435,0.582010582010582,0.049441786283891544,0.8187134502923976
