task_id,grid_h,grid_w,n_cells_total,n_cells_nonbg,frac_nonbg,n_colors_output,n_colors_input,n_new_colors,n_success_cc,mean_cc_area,max_cc_area,input_out_size_ratio,symmetry_h,symmetry_v,symmetry_d,used_copy_mean,n_showex_mean,n_reset_mean,n_edits_mean,n_chunks_random_k3,afforded_random_k3,n_chunks_color_first,afforded_color_first,n_chunks_nn_color_first,afforded_nn_color_first,n_chunks_object_first,afforded_object_first,n_chunks_row_first,afforded_row_first,n_chunks_col_first,afforded_col_first,n_afforded,n_subjects,n_distinct_strategies_chosen,human_entropy_bits,dominant_frac,dominant_strategy
00d62c1b,20,20,400,111,0.2775,2,1,1,5,22.2,54,1.0,0.25225225225225223,0.3063063063063063,0.2882882882882883,0.9365079365079364,1.380952380952381,1.0158730158730158,37.10582010582011,37,1,2,1,2,1,23,1,18,1,17,1,6,186,5,1.8874966494944045,0.46774193548387094,col_first
00dbd492,20,20,400,180,0.45,4,1,3,4,45.0,81,1.0,0.16666666666666666,0.18888888888888888,0.5055555555555555,0.934010152284264,3.1116751269035534,1.0456852791878173,105.14213197969544,60,1,4,1,4,1,12,1,19,1,17,1,6,196,5,1.28285072226902,0.5102040816326531,color_first
0a2355a6,15,17,255,86,0.33725490196078434,4,1,4,4,21.5,28,1.0,0.13953488372093023,0.11627906976744186,1.0,0.9411764705882352,5.219251336898396,1.1122994652406415,107.59893048128342,29,1,4,1,4,1,4,1,14,1,15,1,6,182,2,0.049156697550013985,0.9945054945054945,row_first
0a938d79,11,27,297,55,0.18518518518518517,2,2,0,5,11.0,11,1.0,0.0,1.0,1.0,0.9343434343434344,2.2323232323232323,1.1616161616161615,86.56565656565657,19,1,2,1,2,1,5,1,11,1,5,1,6,194,3,0.44505030433316695,0.9278350515463918,random_k3
0b17323b,15,15,225,5,0.022222222222222223,2,1,1,5,1.0,1,1.0,0.0,0.0,1.0,0.9424083769633508,1.324607329842932,1.0261780104712042,3.5916230366492146,2,1,2,1,2,1,5,1,5,1,5,1,6,23,2,0.9876925088958033,0.5652173913043478,random_k3
0ca9ddb6,9,9,81,17,0.20987654320987653,6,4,2,13,1.3076923076923077,5,1.0,0.0,0.11764705882352941,0.35294117647058826,0.9441624365482234,3.512690355329949,1.0558375634517767,15.639593908629442,6,1,6,1,6,1,17,1,8,1,7,1,6,191,5,1.5779567986110032,0.5340314136125655,random_k3
0d3d703e,3,3,9,6,0.6666666666666666,2,2,2,1,6.0,6,1.0,0.5,1.0,0.3333333333333333,0.482233502538071,3.6395939086294415,1.0456852791878173,10.071065989847716,2,1,2,1,2,1,2,1,3,1,2,1,6,195,2,0.04639138357369902,0.9948717948717949,row_first
0d87d2a6,23,25,575,194,0.3373913043478261,2,2,0,4,48.5,175,1.0,0.4072164948453608,0.5,1.0,0.9402173913043478,2.907608695652174,1.184782608695652,230.04891304347825,65,1,2,1,2,1,4,1,23,1,25,1,6,179,3,0.5857800795535721,0.888268156424581,row_first
0e671a1a,13,13,169,24,0.14201183431952663,4,3,1,1,24.0,24,1.0,0.375,0.375,0.08333333333333333,0.9393939393939394,3.8181818181818183,1.4242424242424243,47.27272727272727,8,1,4,1,4,1,4,1,10,1,10,1,6,190,3,1.4252194062994268,0.5210526315789473,col_first
12eac192,8,8,64,32,0.5,4,3,1,9,3.5555555555555554,9,1.0,0.1875,0.375,0.3125,0.9440993788819876,3.919254658385093,1.329192546583851,28.26086956521739,11,1,4,1,4,1,15,1,8,1,8,1,6,143,5,1.4904159161778072,0.6573426573426573,color_first
1a07d186,19,26,494,64,0.12955465587044535,3,4,0,3,21.333333333333332,22,1.0,0.0,0.90625,1.0,0.925531914893617,1.8351063829787233,1.101063829787234,29.904255319148938,22,1,3,1,3,1,3,1,19,1,9,1,6,167,2,0.8574016128221291,0.718562874251497,random_k3
1b60fb0c,10,10,100,40,0.4,2,1,1,1,40.0,40,1.0,0.4,0.7,0.4,0.9583333333333334,2.1770833333333335,1.2239583333333333,21.604166666666668,14,1,2,1,2,1,2,1,10,1,10,1,6,186,3,0.6909626515504556,0.8655913978494624,col_first
1bfc4729,10,10,100,52,0.52,2,2,0,1,52.0,52,1.0,1.0,0.0,0.38461538461538464,0.8858695652173914,2.385869565217391,1.0271739130434785,63.20108695652174,18,1,2,1,2,1,2,1,10,1,10,1,6,181,3,0.4415060278986973,0.9171270718232044,row_first
1c02dbbe,15,15,225,169,0.7511111111111111,5,5,1,1,169.0,169,1.0,0.24260355029585798,0.17159763313609466,0.2781065088757396,0.9430051813471504,1.787564766839378,1.0621761658031088,140.28497409326425,57,1,5,1,5,1,5,1,13,1,13,1,6,193,4,1.4038240168207858,0.47668393782383417,col_first
1c0d0a4b,13,13,169,30,0.17751479289940827,1,1,1,21,1.4285714285714286,3,1.0,0.43333333333333335,0.43333333333333335,0.36666666666666664,0.918918918918919,2.081081081081081,1.0756756756756756,86.80540540540541,10,1,1,0,1,0,21,1,9,1,9,1,4,175,2,0.4598726746138259,0.9028571428571428,random_k3
1caeab9d,10,10,100,15,0.15,3,3,0,6,2.5,4,1.0,0.26666666666666666,0.0,0.2,0.913978494623656,2.575268817204301,1.3763440860215057,37.47849462365591,5,1,3,1,3,1,6,1,3,1,9,1,6,181,3,0.6695093132653163,0.8397790055248618,col_first
