predictor,target,spearman_rho,p_value,n
n_afforded,dominant_frac,0.15286242341556938,0.19043195966383297,75
n_colors_input,dominant_frac,-0.1459431818030411,0.21152669008375674,75
n_reset_mean,dominant_frac,-0.13890963414310722,0.2346129412804934,75
grid_h,dominant_frac,-0.1295626456401458,0.2679149543958139,75
frac_nonbg,dominant_frac,0.11008926355693872,0.3470894730920808,75
symmetry_v,dominant_frac,-0.09837008253144697,0.40111006057400467,75
n_colors_output,dominant_frac,-0.08484798742612187,0.4692069174067611,75
n_new_colors,dominant_frac,0.0709502399560205,0.5452521224983162,75
n_edits_mean,dominant_frac,-0.06071123755334281,0.6048619168894035,75
symmetry_h,dominant_frac,0.05653445490121315,0.6299728876469926,75
max_cc_area,dominant_frac,-0.04402816731302884,0.7076062711104634,75
grid_w,dominant_frac,-0.03136137317937241,0.7893910777371499,75
n_cells_nonbg,dominant_frac,0.022350899483486498,0.8490449706814301,75
mean_cc_area,dominant_frac,0.013215827736787363,0.9103992391026832,75
n_showex_mean,dominant_frac,-0.009359886201991465,0.9364764524838919,75
n_success_cc,dominant_frac,0.006330303106584736,0.95701342632571,75
used_copy_mean,dominant_frac,-0.003414255955757951,0.9768073486649174,75
input_out_size_ratio,dominant_frac,,,75
n_afforded,human_entropy_bits,-0.15913315728069616,0.17266386815768395,75
n_reset_mean,human_entropy_bits,0.14538212605658535,0.21330693062662567,75
n_colors_input,human_entropy_bits,0.1321051456012519,0.2585569412501686,75
grid_h,human_entropy_bits,0.11981754273745757,0.30587476895190346,75
symmetry_v,human_entropy_bits,0.105532328040567,0.3675319159021927,75
frac_nonbg,human_entropy_bits,-0.09195206094224731,0.4326779047781375,75
n_colors_output,human_entropy_bits,0.09085348111846361,0.43821904990680605,75
n_success_cc,human_entropy_bits,0.07710939349740319,0.5108267634923007,75
n_new_colors,human_entropy_bits,-0.044799013626849175,0.7027238034910883,75
n_showex_mean,human_entropy_bits,0.04469416785206259,0.7033871867266162,75
n_edits_mean,human_entropy_bits,0.0415647226173542,0.723287739051144,75
mean_cc_area,human_entropy_bits,-0.03856631753975301,0.7425286467770351,75
symmetry_h,human_entropy_bits,-0.03838001018685187,0.7437295461089745,75
max_cc_area,human_entropy_bits,0.01992868872882004,0.865241702367185,75
n_cells_nonbg,human_entropy_bits,0.012946733628244885,0.9122163434473467,75
grid_w,human_entropy_bits,0.012707502623729295,0.9138321698507031,75
used_copy_mean,human_entropy_bits,0.009531464543157613,0.9353144661065165,75
input_out_size_ratio,human_entropy_bits,,,75
